name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2bandwidth_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3bandwidth_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;5.778360e-01;-2.167240e+00;9.108602e+00;-2.380159e-02;-9.414299e-03;1.419706e-01;4.765312e+00;-3.384750e+00;3.689309e+01;-1.571065e+00;0;0;0;0;0;0;9.776061e+02;4.730031e+02;-201;1.503838e+03;9.111565e+02;-201;2.804659e+03;7.971368e+02;-201
'unknown';0.050000;7.124858e-01;-2.555811e+00;8.988085e+00;-1.553923e-02;-1.259836e-02;2.388653e-01;1.289849e+01;-6.408589e+00;4.318348e+01;2.976387e+00;0;0;0;0;0;0;6.377124e+02;8.141111e+02;-201;1.454126e+03;6.578585e+02;-201;2.587091e+03;7.985483e+02;-201
'unknown';0.100000;6.924838e-01;-6.223846e+00;1.195247e+01;-8.108985e-03;-1.938749e-02;3.759111e-01;2.084867e+01;-2.403924e+00;4.247615e+01;7.061326e+00;0;0;0;0;0;0;3.229311e+02;1.111948e+03;-201;1.451832e+03;4.036611e+02;-201;2.442150e+03;8.208576e+02;-201
'unknown';0.150000;4.520955e-01;-1.331364e+01;2.253839e+01;-2.358158e-02;-1.793319e-02;2.963471e-01;2.048690e+01;8.185729e+00;2.867395e+01;7.527068e+00;0;0;0;0;0;0;5.925765e+02;1.106864e+03;-201;1.865675e+03;5.843774e+02;-201;2.800839e+03;8.130555e+02;-201
'unknown';0.200000;3.428507e-01;-1.724722e+01;2.826264e+01;-3.495602e-02;-2.011064e-02;3.105339e-01;1.990324e+01;1.911515e+01;1.305772e+01;2.122693e+00;0;0;0;0;0;0;7.999383e+02;1.013271e+03;-201;2.252888e+03;5.435135e+02;-201;3.072967e+03;8.109016e+02;-201
'unknown';0.250000;2.459985e-01;-1.983864e+01;3.174337e+01;-5.029398e-02;-1.153168e-02;2.877739e-01;1.952113e+01;2.076224e+01;9.985294e+00;7.672535e+00;0;0;0;0;0;0;1.058960e+03;1.167187e+03;-201;2.365681e+03;8.579816e+02;-201;3.156086e+03;9.032399e+02;-201
'unknown';0.300000;2.690459e-01;-1.673283e+01;2.669271e+01;-4.268612e-02;-1.067069e-02;2.472926e-01;1.369641e+01;1.565074e+01;1.269505e+01;6.978570e+00;0;0;0;0;0;0;1.044965e+03;1.116810e+03;-201;2.117780e+03;7.182888e+02;-201;3.021521e+03;9.421934e+02;-201
'unknown';0.350000;4.848214e-01;-6.777673e+00;1.752208e+01;-4.011744e-02;-5.425575e-03;3.003483e-01;-5.503528e+00;1.020902e+01;1.877146e+01;8.687154e+00;0;0;0;0;0;0;1.352347e+03;1.004717e+03;-201;2.184739e+03;9.561707e+02;-201;3.178477e+03;1.007366e+03;-201
'unknown';0.400000;5.585001e-01;-6.139825e-02;1.212443e+01;-4.371649e-02;-6.904418e-03;3.375298e-01;-1.955291e+01;1.435339e+01;1.814558e+01;2.696979e+00;0;0;0;0;0;0;1.288091e+03;8.675908e+02;-201;2.264266e+03;7.527999e+02;-201;3.400183e+03;1.038038e+03;-201
'unknown';0.450000;6.640010e-01;4.598550e+00;6.186998e+00;-2.963926e-02;-7.755970e-03;3.466289e-01;-2.144737e+01;1.749658e+01;1.577896e+01;-2.883955e+00;0;0;0;0;0;0;1.046337e+03;1.065880e+03;-201;2.203302e+03;8.113426e+02;-201;3.115769e+03;8.422307e+02;-201
'unknown';0.500000;5.687427e-01;-3.928646e+00;1.440482e+01;-1.831615e-02;-6.910020e-03;3.700938e-01;2.524032e+00;1.209892e+01;9.315160e+00;-8.072767e+00;0;0;0;0;0;0;5.672164e+02;1.236392e+03;-201;1.707392e+03;7.627700e+02;-201;2.704754e+03;6.761226e+02;-201
'unknown';0.550000;7.234757e-01;-6.687778e+00;1.780889e+01;2.110059e-03;-7.877229e-03;3.721497e-01;2.293072e+01;-1.696575e+00;4.398259e+00;-1.318836e+01;0;0;0;0;0;0;3.830286e+02;1.320128e+03;-201;1.413429e+03;8.921672e+02;-201;2.300577e+03;6.063719e+02;-201
'unknown';0.600000;7.024474e-01;-8.054871e+00;2.120654e+01;-7.139871e-03;-4.833087e-03;5.040938e-01;2.382939e+01;-8.094021e+00;3.633521e+00;-8.029940e+00;0;0;0;0;0;0;4.823558e+02;1.068894e+03;-201;1.337080e+03;9.259135e+02;-201;2.465446e+03;7.878718e+02;-201
'unknown';0.650000;5.917109e-01;-2.530071e+00;1.381496e+01;-1.593179e-02;-4.455518e-03;3.653263e-01;8.413719e+00;-2.608866e+00;4.305494e+00;-4.981756e+00;0;0;0;0;0;0;6.170590e+02;9.976340e+02;-201;1.412342e+03;1.004025e+03;-201;2.330444e+03;7.510445e+02;-201
'unknown';0.700000;5.751982e-01;-2.721440e+00;1.157701e+01;-7.798335e-03;-7.998016e-03;3.470294e-01;3.133115e+00;2.436193e+00;1.011910e+01;7.398149e-01;0;0;0;0;0;0;5.961956e+02;9.648447e+02;-201;1.456026e+03;8.636436e+02;-201;2.410286e+03;5.541849e+02;-201
'unknown';0.750000;5.735855e-01;-4.468513e+00;1.244884e+01;2.917932e-03;-9.987511e-03;3.007250e-01;1.218486e+01;1.827789e+00;1.744816e+01;1.794677e+00;0;0;0;0;0;0;7.894244e+02;1.123475e+03;-1.404669e+02;1.671648e+03;1.005527e+03;-1.399844e+02;2.528432e+03;7.212150e+02;-1.385961e+02
'unknown';0.800000;5.815461e-01;-9.972064e+00;1.916876e+01;1.289033e-02;-1.097790e-02;3.248011e-01;2.805203e+01;-1.226748e+00;1.636908e+01;5.361714e+00;2.483265e+01;1.686762e-02;8.868204e-01;5.334779e+00;3.657432e+00;2.145012e+01;8.586636e+02;1.248870e+03;-7.453205e+01;1.892435e+03;9.805291e+02;-7.840246e+01;2.868883e+03;8.277451e+02;-7.723351e+01
'unknown';0.850000;5.593610e-01;-1.018599e+01;2.224598e+01;4.712851e-03;-1.414047e-02;2.532126e-01;3.222520e+01;-1.954723e+00;8.858491e+00;-1.275386e+00;2.478733e+01;1.270501e-02;7.595341e-01;5.431830e+00;2.688041e+00;2.148304e+01;1.055922e+03;1.210720e+03;-6.878406e+00;2.178260e+03;1.039172e+03;-1.686603e+01;3.043974e+03;1.014247e+03;-1.598969e+01
'unknown';0.900000;6.155241e-01;-9.911975e+00;2.305584e+01;1.113650e-02;-2.154308e-02;1.996206e-01;3.535875e+01;-1.189289e+00;4.351604e-01;-1.363988e+01;2.460649e+01;8.148280e-03;6.224368e-01;5.559230e+00;4.217273e-01;2.071256e+01;9.713580e+02;1.169819e+03;4.056806e-01;2.273258e+03;8.205352e+02;-1.576641e+01;3.149168e+03;9.534628e+02;-1.627838e+01
'unknown';0.950000;5.200369e-01;-8.765206e+00;2.315762e+01;3.611793e-03;-2.242046e-02;2.447495e-01;2.748274e+01;2.571065e+00;5.865668e-01;-1.142784e+01;2.457143e+01;5.591773e-03;5.875232e-01;5.434029e+00;5.089999e-01;2.040297e+01;8.954146e+02;1.207761e+03;-6.552920e+01;2.312740e+03;8.476475e+02;-7.734838e+01;3.218679e+03;1.081731e+03;-7.764100e+01
'unknown';1.000000;4.626183e-01;-4.824242e+00;1.748741e+01;-2.062910e-03;-9.625829e-03;2.172505e-01;1.152501e+01;3.023058e+00;2.949151e+00;-4.593115e+00;0;0;0;0;0;0;8.416644e+02;8.788194e+02;-1.331828e+02;2.137117e+03;1.146904e+03;-1.388848e+02;2.921950e+03;9.834207e+02;-1.388848e+02
'unknown';1.050000;4.380697e-01;4.059689e-01;1.258792e+01;-1.846573e-02;3.019038e-03;1.765286e-01;-6.025223e+00;2.766655e+00;1.335718e+00;7.074823e+00;0;0;0;0;0;0;7.360647e+02;5.052214e+02;-201;1.959646e+03;1.147555e+03;-201;2.681543e+03;1.200025e+03;-201
'unknown';1.100000;5.028207e-01;4.859673e+00;6.453898e+00;-1.977293e-02;1.109874e-02;8.043487e-02;-1.482488e+01;-5.282253e-01;1.615169e+00;6.541609e+00;0;0;0;0;0;0;6.922982e+02;6.998899e+01;-201;1.784544e+03;1.025912e+03;-201;2.424309e+03;1.247135e+03;-201
'unknown';1.150000;4.833439e-01;5.112268e+00;4.825472e+00;-2.245764e-02;9.506837e-03;6.643594e-02;-1.302079e+01;1.776653e+00;2.774362e-01;5.464104e+00;0;0;0;0;0;0;7.611799e+02;1.761848e+02;-201;1.937379e+03;4.899960e+02;-201;2.743512e+03;1.283773e+03;-201
'unknown';1.200000;4.369079e-01;4.605122e+00;3.644824e+00;-2.245495e-02;7.263535e-03;6.349058e-02;-1.081072e+01;2.580651e+00;8.851193e-01;4.126108e+00;0;0;0;0;0;0;8.076948e+02;3.242160e+02;-201;1.990050e+03;4.790045e+02;-201;2.931008e+03;1.008187e+03;-201
'unknown';1.250000;3.456644e-01;1.666555e+00;7.408173e+00;-2.142693e-02;3.667158e-03;5.662506e-02;-4.703552e+00;2.870819e+00;2.477014e+00;3.556314e+00;0;0;0;0;0;0;8.593525e+02;5.476030e+02;-201;2.088107e+03;4.421863e+02;-201;3.114329e+03;7.885586e+02;-201
'unknown';1.300000;2.383056e-01;-3.892696e+00;1.742037e+01;-1.890275e-02;1.141023e-03;4.780752e-02;3.158081e+00;2.410707e+00;-1.023134e-01;3.934180e-01;0;0;0;0;0;0;8.477899e+02;7.554521e+02;-201;2.060589e+03;1.120986e+03;-201;3.057831e+03;7.157195e+02;-201
'unknown';1.350000;1.443052e-01;-1.201953e+01;2.751173e+01;-2.585974e-02;-3.116429e-04;3.467426e-02;1.109721e+01;6.309219e+00;-1.147817e+00;2.027478e+00;0;0;0;0;0;0;8.782155e+02;9.132795e+02;-201;2.071964e+03;1.200731e+03;-201;3.014874e+03;7.204266e+02;-201
'unknown';1.400000;9.685177e-02;-1.933304e+01;3.516159e+01;-3.348537e-02;-6.306556e-03;2.377955e-02;1.492416e+01;1.297190e+01;-7.809806e-01;4.411665e+00;0;0;0;0;0;0;7.358311e+02;1.445584e+03;-201;1.747217e+03;1.703359e+03;-201;2.714561e+03;8.405641e+02;-201
'unknown';1.450000;9.244601e-02;-1.952155e+01;3.712786e+01;-3.535711e-02;-8.734961e-03;1.836580e-02;1.665458e+01;1.622073e+01;-2.538522e+00;2.229494e+00;0;0;0;0;0;0;5.524083e+02;1.570916e+03;-201;1.432135e+03;1.266797e+03;-201;2.692649e+03;7.609012e+02;-201
'unknown';1.500000;1.002152e-01;-1.628874e+01;3.682019e+01;-2.807286e-02;-1.096202e-02;2.300681e-02;1.886024e+01;1.804219e+01;-5.082183e+00;-5.932131e+00;0;0;0;0;0;0;3.841780e+02;1.678888e+03;-201;1.124149e+03;1.267599e+03;-201;2.658252e+03;4.596287e+02;-201
'unknown';1.550000;1.290764e-01;-1.269575e+01;3.387642e+01;-1.690374e-02;-1.218491e-02;3.788689e-02;2.367576e+01;1.704892e+01;-6.812648e+00;-1.083183e+01;0;0;0;0;0;0;2.908449e+02;1.484690e+03;-201;1.128886e+03;8.715908e+02;-201;2.730001e+03;3.040933e+02;-201
'unknown';1.600000;2.055069e-01;-1.263625e+01;2.702176e+01;-4.592350e-03;-1.491955e-02;8.750682e-02;2.754482e+01;1.447263e+01;7.222559e-01;-3.109899e+00;0;0;0;0;0;0;4.670957e+02;1.360398e+03;-1.389442e+02;1.449553e+03;7.634642e+02;-1.391598e+02;2.791442e+03;4.265241e+02;-1.418733e+02
'unknown';1.650000;3.095285e-01;-1.212605e+01;1.969448e+01;3.689797e-03;-1.628966e-02;1.227849e-01;2.784026e+01;1.033528e+01;1.775370e+01;1.178574e+01;2.468686e+01;1.656532e-02;8.683826e-01;4.857981e+00;1.819650e+00;1.984419e+01;4.450204e+02;1.332568e+03;-7.091496e+01;1.556941e+03;6.700783e+02;-7.911829e+01;2.603760e+03;7.599216e+02;-7.823141e+01
'unknown';1.700000;4.306055e-01;-9.615800e+00;1.390320e+01;5.805327e-03;-1.754037e-02;1.410746e-01;2.405109e+01;6.673814e+00;3.459090e+01;2.005622e+01;2.451756e+01;1.277410e-02;7.014615e-01;4.473242e+00;1.429791e+00;1.680666e+01;5.033846e+02;1.163324e+03;-2.362688e+00;1.689665e+03;4.437277e+02;-2.014146e+01;2.649560e+03;9.135518e+02;-1.325633e+01
'unknown';1.750000;4.750383e-01;-7.828115e+00;1.273140e+01;-1.390940e-03;-1.941092e-02;1.253223e-01;2.099164e+01;3.927119e+00;4.295129e+01;2.192113e+01;2.417300e+01;7.208218e-03;4.312201e-01;4.394251e+00;4.196450e-01;1.291816e+01;3.163743e+02;1.171248e+03;3.752461e+00;1.485845e+03;4.325204e+02;-1.993652e+01;2.439582e+03;9.459871e+02;-8.962742e+00
'unknown';1.800000;5.216636e-01;-6.592512e+00;1.329402e+01;-5.911380e-03;-1.994131e-02;1.512696e-01;2.255844e+01;-1.744164e+00;3.323431e+01;1.452429e+01;2.360319e+01;1.009661e-02;3.251236e-01;3.016175e+00;-8.177088e-01;1.234161e+01;3.261718e+02;1.225025e+03;5.715059e+00;1.430783e+03;5.642216e+02;-1.277677e+01;2.446876e+03;8.326700e+02;-7.660952e+00
'unknown';1.850000;5.409942e-01;-7.114717e+00;1.465502e+01;-1.263677e-02;-1.423026e-02;1.689188e-01;2.736047e+01;-7.854113e+00;1.657888e+01;6.955438e+00;2.325879e+01;1.359625e-02;3.416647e-01;2.614344e+00;-9.685895e-01;1.427836e+01;3.755759e+02;1.204024e+03;3.025188e+00;1.363338e+03;8.033161e+02;-5.398800e+00;2.410479e+03;7.810325e+02;-9.956575e+00
'unknown';1.900000;5.662251e-01;-6.609429e+00;1.641863e+01;-1.875683e-02;-6.910584e-03;2.038836e-01;3.091847e+01;-1.063751e+01;2.268740e+00;2.387681e+00;2.324475e+01;1.296397e-02;4.521842e-01;2.610637e+00;-3.660010e-01;1.605092e+01;3.949455e+02;1.251534e+03;5.371346e-01;1.285953e+03;9.724919e+02;-6.605839e-01;2.369286e+03;7.950520e+02;-1.190967e+01
'unknown';1.950000;5.688687e-01;-6.632105e+00;1.739690e+01;-2.154967e-02;-5.468514e-03;1.644772e-01;3.397511e+01;-1.042249e+01;-3.141343e+00;2.458877e-01;2.373732e+01;8.835538e-03;4.674013e-01;3.963139e+00;1.128433e+00;1.732724e+01;4.052317e+02;1.276383e+03;-2.494887e+00;1.247449e+03;1.044631e+03;-4.809982e-01;2.339552e+03;8.315593e+02;-1.472357e+01
'unknown';2.000000;5.629060e-01;-6.167310e+00;1.712178e+01;-2.624137e-02;-7.608457e-03;1.596628e-01;3.641911e+01;-1.046248e+01;-6.271576e+00;2.832122e+00;2.396934e+01;4.757646e-03;3.835284e-01;4.819667e+00;1.674864e+00;1.612126e+01;3.908907e+02;1.368464e+03;-1.325170e+00;1.213321e+03;1.098036e+03;9.324650e-01;2.298900e+03;8.581561e+02;-1.406663e+01
'unknown';2.050000;5.604817e-01;-5.657117e+00;1.654436e+01;-3.042069e-02;-1.074363e-02;1.155519e-01;3.866544e+01;-1.229268e+01;-6.360569e+00;3.905259e+00;2.388598e+01;3.835748e-03;2.678517e-01;5.149065e+00;1.662853e+00;1.502266e+01;3.802899e+02;1.433234e+03;3.611269e-01;1.196091e+03;1.131972e+03;2.507075e+00;2.284662e+03;8.633343e+02;-1.299868e+01
'unknown';2.100000;5.373119e-01;-5.539203e+00;1.701826e+01;-2.205933e-02;-1.120673e-02;1.242089e-01;3.929464e+01;-1.311023e+01;-7.228521e+00;7.113678e+00;2.373113e+01;4.198469e-03;3.293814e-01;3.979661e+00;6.070485e-01;1.490236e+01;2.874153e+02;1.610048e+03;6.019303e-01;1.172644e+03;1.184224e+03;3.284445e+00;2.247596e+03;9.569482e+02;-1.224438e+01
'unknown';2.150000;3.899797e-01;-8.733688e+00;2.451539e+01;-2.078456e-02;-1.360608e-02;1.497671e-01;3.390778e+01;-4.183874e+00;-6.566458e+00;2.414309e+00;2.367578e+01;4.569252e-03;4.112601e-01;3.435564e+00;-7.790029e-03;1.589159e+01;2.964880e+02;1.584664e+03;0;1.172899e+03;1.134634e+03;-6.448381e+01;2.372926e+03;8.612531e+02;-7.558078e+01
'unknown';2.200000;2.452870e-01;-1.133272e+01;2.925971e+01;-1.556955e-02;-1.250499e-02;1.293571e-01;2.710481e+01;4.858918e+00;-4.662231e+00;8.618035e-01;0;0;0;0;0;0;5.242312e+02;1.498512e+03;-201;1.709085e+03;1.297984e+03;-1.328418e+02;2.707961e+03;9.093428e+02;-1.381160e+02
'unknown';2.250000;1.106080e-01;-1.642112e+01;3.431696e+01;-3.774735e-02;-8.365256e-03;1.023088e-01;2.020429e+01;1.432245e+01;-4.160188e-01;1.713098e+00;0;0;0;0;0;0;8.089005e+02;1.134766e+03;-201;2.037598e+03;1.106371e+03;-201;3.187121e+03;7.038890e+02;-201
'unknown';2.300000;1.842120e-01;-1.484442e+01;2.841091e+01;-2.744219e-02;-6.383784e-03;7.778494e-02;2.209368e+01;1.096960e+01;2.065164e+00;3.143175e+00;0;0;0;0;0;0;8.047636e+02;1.084430e+03;-201;2.061947e+03;1.089461e+03;-201;3.164769e+03;6.852612e+02;-201
'unknown';2.350000;2.542257e-01;-1.441340e+01;2.619243e+01;-1.664360e-02;-9.546425e-03;1.035193e-01;2.566490e+01;1.204862e+01;2.194484e+00;2.376654e+00;0;0;0;0;0;0;5.673113e+02;1.116439e+03;-201;1.522304e+03;8.249421e+02;-201;2.940343e+03;4.504497e+02;-201
'unknown';2.400000;3.151995e-01;-9.109813e+00;1.940845e+01;6.311392e-03;-1.498635e-02;1.435110e-01;2.501466e+01;5.648510e+00;5.515120e+00;-1.731002e+00;0;0;0;0;0;0;3.823185e+02;1.204831e+03;-201;1.308409e+03;8.046540e+02;-201;2.527832e+03;5.504756e+02;-201
'unknown';2.450000;4.204441e-01;-1.090641e+01;2.050731e+01;1.050656e-02;-2.259780e-02;2.565938e-01;2.812984e+01;4.029719e+00;6.904268e+00;-1.316398e+01;0;0;0;0;0;0;2.982375e+02;1.347875e+03;-201;1.241752e+03;8.157839e+02;-201;2.473440e+03;4.764330e+02;-201
'unknown';2.500000;5.122768e-01;-1.075214e+01;1.898061e+01;1.628136e-02;-2.599038e-02;3.686601e-01;3.010672e+01;-1.922177e-01;9.854297e+00;-2.159652e+01;0;0;0;0;0;0;2.517506e+02;1.446791e+03;-201;1.201322e+03;8.622874e+02;-201;2.395287e+03;4.774432e+02;-201
'unknown';2.550000;5.297610e-01;-1.187628e+01;2.131461e+01;1.080293e-02;-2.235587e-02;4.400264e-01;2.917280e+01;5.666798e+00;5.958363e+00;-2.182068e+01;0;0;0;0;0;0;4.688077e+02;1.409509e+03;-201;1.530020e+03;7.337642e+02;-201;2.739783e+03;4.011548e+02;-201
'unknown';2.600000;4.534169e-01;-4.974251e+00;1.511803e+01;1.294053e-03;-6.403692e-03;3.076817e-01;1.210076e+01;7.749142e+00;5.908508e+00;-4.409888e+00;0;0;0;0;0;0;6.563544e+02;9.617047e+02;-201;1.751620e+03;6.692084e+02;-201;2.804011e+03;7.217741e+02;-201
'unknown';2.650000;4.029684e-01;-4.389253e-01;1.136503e+01;-2.551576e-02;5.097551e-03;1.793088e-01;-5.067492e+00;8.335860e+00;4.559826e+00;8.907954e+00;0;0;0;0;0;0;8.060908e+02;4.417409e+02;-201;1.963383e+03;5.398719e+02;-201;2.849787e+03;8.293670e+02;-201
'unknown';2.700000;4.240128e-01;1.499000e+00;8.695245e+00;-3.975542e-02;6.666667e-03;7.251751e-02;-1.270312e+01;6.605718e+00;4.771467e+00;1.214497e+01;0;0;0;0;0;0;6.855208e+02;2.477756e+02;-201;1.701435e+03;6.277935e+02;-201;2.534116e+03;9.633000e+02;-201
'unknown';2.750000;3.684152e-01;-2.508831e+00;1.343512e+01;-4.314080e-02;3.360647e-03;6.361418e-02;-8.230811e+00;7.290624e+00;5.285053e+00;7.411585e+00;0;0;0;0;0;0;5.708077e+02;1.524072e+03;-201;1.407198e+03;6.503052e+02;-201;2.423690e+03;6.092886e+02;-201
