name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2bandwidth_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3bandwidth_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;1.815122e-01;-8.246305e+00;1.405115e+01;-1.315691e-02;-1.659807e-02;1.603055e-02;1.755610e+01;2.756713e+00;9.469333e+00;-5.216082e+00;0;0;0;0;0;0;7.569937e+02;1.241379e+03;-201;1.760738e+03;7.089370e+02;-201;3.041376e+03;4.192953e+02;-201
'unknown';0.050000;1.867219e-01;-7.694269e+00;1.121070e+01;-1.479579e-02;-1.576960e-02;3.165127e-02;1.738737e+01;1.476178e+00;1.694974e+01;8.553855e-01;0;0;0;0;0;0;5.680562e+02;1.313693e+03;-201;1.539264e+03;7.290110e+02;-201;2.653517e+03;5.462161e+02;-201
'unknown';0.100000;1.723312e-01;-1.018203e+01;1.261717e+01;-1.242492e-02;-1.596119e-02;4.163358e-02;1.824539e+01;4.173785e+00;1.943797e+01;4.951812e+00;0;0;0;0;0;0;3.786040e+02;1.495989e+03;-201;1.341900e+03;1.160400e+03;-201;2.171437e+03;6.614246e+02;-201
'unknown';0.150000;1.448995e-01;-1.084531e+01;1.640141e+01;-6.350453e-03;-1.362662e-02;3.541011e-02;1.826748e+01;1.096856e+01;1.552957e+01;5.555968e+00;0;0;0;0;0;0;6.124883e+02;1.130146e+03;-201;1.846410e+03;8.953504e+02;-201;2.649089e+03;4.789951e+02;-201
'unknown';0.200000;1.046655e-01;-1.438431e+01;2.538918e+01;-1.395154e-02;-7.566696e-03;2.843629e-02;1.469309e+01;1.759451e+01;8.537445e+00;8.746442e+00;0;0;0;0;0;0;8.586538e+02;9.959683e+02;-201;2.105097e+03;9.372547e+02;-201;2.953477e+03;5.385564e+02;-201
'unknown';0.250000;9.007893e-02;-1.231666e+01;2.713210e+01;-1.972860e-02;-3.010753e-03;2.334388e-02;1.234269e+01;1.731932e+01;1.618873e+00;8.823453e+00;0;0;0;0;0;0;1.057716e+03;7.996035e+02;-201;2.337188e+03;6.404387e+02;-201;3.388079e+03;4.169366e+02;-201
'unknown';0.300000;8.679429e-02;-1.432034e+01;2.883428e+01;-2.229139e-02;-1.837829e-03;2.213412e-02;1.158211e+01;1.836103e+01;2.237751e+00;7.911454e+00;0;0;0;0;0;0;8.162234e+02;9.529822e+02;-201;1.935119e+03;8.238228e+02;-201;3.105357e+03;6.325974e+02;-201
'unknown';0.350000;1.313049e-01;-7.924333e+00;1.941450e+01;-1.522165e-02;-3.550957e-03;2.568365e-02;6.190779e+00;1.541050e+01;3.869247e+00;-9.420808e-01;0;0;0;0;0;0;7.539857e+02;9.177338e+02;-201;1.719851e+03;6.534755e+02;-201;2.999498e+03;5.621426e+02;-201
'unknown';0.400000;1.409729e-01;-5.862521e+00;1.545589e+01;-1.940322e-02;-2.048728e-03;2.856511e-02;4.280408e-03;1.797565e+01;9.279752e+00;-2.031168e+00;0;0;0;0;0;0;8.027010e+02;9.131626e+02;-201;1.634648e+03;4.065170e+02;-201;2.831835e+03;8.492051e+02;-201
'unknown';0.450000;1.393773e-01;-2.840429e+00;1.077988e+01;-2.341816e-02;6.383824e-05;2.313330e-02;-4.588336e+00;1.563918e+01;1.220069e+01;-1.690404e+00;0;0;0;0;0;0;1.056809e+03;7.584079e+02;-201;1.989145e+03;1.062129e+02;-201;3.002245e+03;8.552575e+02;-201
